"","x","y"
"13",3.4122006,0.94238499
"48",7.7729662,1.3029934
"34",5.6877617,1.1648603
"5",2.549079,0.9389889
"36",5.8538914,1.0844156
"15",3.5315732,1.05265
"22",4.3826531,1.0070009
"26",4.9777333,1.1237239
"38",6.3510941,1.1168341
"23",4.4230602,0.96683648
"27",5.0359967,1.0323374
"37",6.1978026,1.1252493
"44",7.1514232,1.2522652
"2",2.3684087,0.91596757
"50",7.9306356,1.2562267
"17",3.6732537,0.95969426
"28",5.0684536,1.0874452
"31",5.4563207,1.0778037
"45",7.4664023,1.2497065
"46",7.5973874,1.1799706
"41",6.8637686,1.1251046
"40",6.7383791,1.2069462
"16",3.6393002,1.0143791
"14",3.4215823,0.96624578
"30",5.4395623,1.1606493
"19",4.0498646,1.0766065
"9",3.1146696,0.93933944
"49",7.8264514,1.2601134
"18",3.9256462,0.96853716
"21",4.3440052,1.0340625
"32",5.5698458,1.1069758
"4",2.5420804,0.90566138
"8",3.035627,0.91445939
"24",4.6102443,1.0895919
"29",5.4161491,1.0702988
"35",5.7215602,1.1411796
"1",2.0658746,0.77918926
